Bedrooms,Bathrooms,SqftLiving,HouseAge,Garage,Floors,Neighborhood,DistanceToCity,Price
3,3,902,54,2,2,0,6.8,150000
6,5,2174,35,0,1,1,22.8,280000
4,3,1677,52,0,2,2,37.0,249000
3,3,965,33,2,2,0,48.1,72000
2,1,1022,21,1,3,2,19.3,216000
2,2,785,20,2,2,0,27.6,85000
2,1,817,8,1,2,0,42.7,56000
5,4,1944,51,2,3,1,17.4,332000
4,4,1754,26,2,1,3,8.0,415000
4,3,1756,33,1,2,0,14.8,268000
1,1,500,26,0,2,0,45.1,50000
6,5,2512,37,2,1,2,8.8,480000
4,3,1557,30,2,1,1,17.1,262000
2,1,908,31,2,2,2,23.8,217000
2,2,732,33,0,1,1,42.5,80000
2,2,800,11,2,1,1,46.9,92000
3,3,1145,53,0,3,1,21.9,140000
3,3,1108,41,1,2,1,46.7,136000
3,2,1062,5,1,3,2,8.9,314000
3,2,1293,2,1,1,2,8.7,302000
4,3,1862,13,1,3,1,47.5,257000
2,1,1034,18,1,2,3,26.0,260000
3,2,948,26,0,2,1,10.1,202000
3,2,1457,25,1,1,1,24.9,211000
3,2,1136,44,2,2,2,39.4,164000
4,3,1720,14,0,2,2,41.5,293000
2,2,618,5,1,2,0,43.3,71000
3,3,1228,59,1,2,2,28.9,194000
3,2,1262,56,1,1,1,43.5,129000
1,1,500,42,1,3,2,26.0,127000
4,4,1721,52,1,3,2,30.7,291000
2,1,1069,2,0,2,1,38.2,148000
2,1,765,4,2,1,0,21.8,73000
5,4,2272,12,1,2,2,4.6,493000
6,5,2362,11,1,2,2,18.2,467000
4,4,1769,4,1,2,1,31.6,300000
3,2,756,43,1,2,1,10.4,127000
2,1,1283,9,1,1,3,8.3,336000
4,3,1899,10,1,2,1,15.4,313000
3,2,1143,27,1,2,1,2.6,205000
2,1,500,6,1,3,1,37.4,98000
3,2,1257,15,0,1,1,13.7,196000
1,1,500,42,1,1,3,7.1,185000
5,4,2088,31,2,3,2,35.3,370000
3,2,1282,22,0,1,1,42.3,176000
4,3,1411,53,0,2,2,2.0,288000
3,2,1424,6,1,1,2,12.4,324000
3,2,1361,33,2,2,1,47.3,155000
3,3,1395,29,2,2,0,19.9,242000
2,1,801,21,1,2,2,47.0,125000
6,5,2116,54,2,3,1,14.4,348000
4,3,1795,56,1,1,0,11.7,215000
5,5,1945,52,2,1,1,11.5,326000
5,5,1722,30,1,2,3,5.2,420000
3,2,1470,21,1,2,1,44.9,232000
5,4,2419,36,1,2,3,49.0,431000
2,1,791,55,1,1,0,47.8,50000
2,2,1231,58,1,3,2,42.7,208000
1,1,500,22,1,2,0,42.5,50000
3,3,1123,46,1,1,1,33.4,134000
3,2,1073,20,1,2,1,41.5,194000
3,2,1527,22,0,1,1,11.2,249000
4,3,1443,52,2,1,2,20.0,275000
3,3,1347,40,2,1,2,32.4,229000
3,2,1088,11,2,1,1,43.9,165000
3,3,1107,47,2,1,3,33.4,237000
2,1,1006,31,1,2,1,42.1,132000
4,4,1523,51,1,2,1,24.2,191000
2,1,719,40,0,2,0,36.1,50000
6,5,2626,13,0,1,1,49.0,348000
4,3,1919,18,1,3,2,8.5,398000
2,1,928,22,2,2,0,46.4,58000
